"filename", "language", "JSON", "Markdown", "HTML", "Vue", "JavaScript", "XML", "PostCSS", "comment", "blank", "total"
"d:\PROYECTO_GRADO\frontend_web\README.md", "Markdown", 0, 3, 0, 0, 0, 0, 0, 0, 3, 6
"d:\PROYECTO_GRADO\frontend_web\index.html", "HTML", 0, 0, 13, 0, 0, 0, 0, 0, 1, 14
"d:\PROYECTO_GRADO\frontend_web\package-lock.json", "JSON", 2349, 0, 0, 0, 0, 0, 0, 0, 1, 2350
"d:\PROYECTO_GRADO\frontend_web\package.json", "JSON", 26, 0, 0, 0, 0, 0, 0, 0, 1, 27
"d:\PROYECTO_GRADO\frontend_web\public\vite.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\PROYECTO_GRADO\frontend_web\src\App.vue", "Vue", 0, 0, 0, 5, 0, 0, 0, 0, 4, 9
"d:\PROYECTO_GRADO\frontend_web\src\api\http.js", "JavaScript", 0, 0, 0, 0, 26, 0, 0, 5, 2, 33
"d:\PROYECTO_GRADO\frontend_web\src\assets\vue.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\PROYECTO_GRADO\frontend_web\src\components\DashboardStats.vue", "Vue", 0, 0, 0, 37, 0, 0, 0, 0, 4, 41
"d:\PROYECTO_GRADO\frontend_web\src\components\DashboardWelcome.vue", "Vue", 0, 0, 0, 113, 0, 0, 0, 2, 10, 125
"d:\PROYECTO_GRADO\frontend_web\src\components\DownloadsTable.vue", "Vue", 0, 0, 0, 171, 0, 0, 0, 3, 16, 190
"d:\PROYECTO_GRADO\frontend_web\src\components\HelloWorld.vue", "Vue", 0, 0, 0, 37, 0, 0, 0, 0, 7, 44
"d:\PROYECTO_GRADO\frontend_web\src\components\HistoryFilters.vue", "Vue", 0, 0, 0, 105, 0, 0, 0, 4, 10, 119
"d:\PROYECTO_GRADO\frontend_web\src\components\HistoryTable.vue", "Vue", 0, 0, 0, 156, 0, 0, 0, 1, 8, 165
"d:\PROYECTO_GRADO\frontend_web\src\components\PredictionChart.vue", "Vue", 0, 0, 0, 90, 0, 0, 0, 0, 12, 102
"d:\PROYECTO_GRADO\frontend_web\src\components\PredictionForm.vue", "Vue", 0, 0, 0, 88, 0, 0, 0, 44, 9, 141
"d:\PROYECTO_GRADO\frontend_web\src\components\RecentReports.vue", "Vue", 0, 0, 0, 99, 0, 0, 0, 0, 13, 112
"d:\PROYECTO_GRADO\frontend_web\src\components\ReportBuilder.vue", "Vue", 0, 0, 0, 137, 0, 0, 0, 5, 15, 157
"d:\PROYECTO_GRADO\frontend_web\src\components\Sidebar.vue", "Vue", 0, 0, 0, 104, 0, 0, 0, 5, 12, 121
"d:\PROYECTO_GRADO\frontend_web\src\layouts\MainLayout.vue", "Vue", 0, 0, 0, 19, 0, 0, 0, 0, 3, 22
"d:\PROYECTO_GRADO\frontend_web\src\main.js", "JavaScript", 0, 0, 0, 0, 11, 0, 0, 0, 3, 14
"d:\PROYECTO_GRADO\frontend_web\src\router\index.js", "JavaScript", 0, 0, 0, 0, 44, 0, 0, 4, 5, 53
"d:\PROYECTO_GRADO\frontend_web\src\store\user.js", "JavaScript", 0, 0, 0, 0, 45, 0, 0, 3, 3, 51
"d:\PROYECTO_GRADO\frontend_web\src\style.css", "PostCSS", 0, 0, 0, 0, 0, 0, 1, 0, 2, 3
"d:\PROYECTO_GRADO\frontend_web\src\views\AdminUsersView.vue", "Vue", 0, 0, 0, 82, 0, 0, 0, 0, 6, 88
"d:\PROYECTO_GRADO\frontend_web\src\views\DashboardView.vue", "Vue", 0, 0, 0, 33, 0, 0, 0, 0, 4, 37
"d:\PROYECTO_GRADO\frontend_web\src\views\DownloadView.vue", "Vue", 0, 0, 0, 11, 0, 0, 0, 0, 2, 13
"d:\PROYECTO_GRADO\frontend_web\src\views\HistoricalView.vue", "Vue", 0, 0, 0, 90, 0, 0, 0, 1, 9, 100
"d:\PROYECTO_GRADO\frontend_web\src\views\HomePageView.vue", "Vue", 0, 0, 0, 3, 0, 0, 0, 0, 0, 3
"d:\PROYECTO_GRADO\frontend_web\src\views\LoginView.vue", "Vue", 0, 0, 0, 134, 0, 0, 0, 79, 17, 230
"d:\PROYECTO_GRADO\frontend_web\src\views\PredictionView.vue", "Vue", 0, 0, 0, 111, 0, 0, 0, 0, 7, 118
"d:\PROYECTO_GRADO\frontend_web\src\views\ReportView.vue", "Vue", 0, 0, 0, 13, 0, 0, 0, 0, 3, 16
"d:\PROYECTO_GRADO\frontend_web\vite.config.js", "JavaScript", 0, 0, 0, 0, 9, 0, 0, 1, 2, 12
"Total", "-", 2375, 3, 13, 1638, 135, 2, 1, 157, 194, 4518